ID,Prediction,Prob,Predicted,Truth
171,1,0.970302786,1,TRUE
178,0,0.013197384,0,TRUE
76,1,0.00088971,0,FALSE
232,0,0.994157077,1,FALSE
206,1,0.096249628,0,FALSE
75,0,0.001198693,0,TRUE
154,0,0.029900547,0,TRUE
61,1,0.838976254,1,TRUE
236,0,0.054435893,0,TRUE
244,0,0.274469402,0,TRUE
181,0,0.050748649,0,TRUE
200,0,0.007605022,0,TRUE
139,0,0.007665496,0,TRUE
20,0,0.055357112,0,TRUE
155,1,0.000106581,0,FALSE
72,0,0.00014044,0,TRUE
202,1,0.960083881,1,TRUE
18,0,0.0047213,0,TRUE
177,0,0.002528428,0,TRUE
48,0,0.000380239,0,TRUE
104,0,0.297066377,0,TRUE
158,0,0.000538073,0,TRUE
190,0,0.07156536,0,TRUE
133,0,0.002794877,0,TRUE
203,0,0.969115748,1,FALSE
235,0,0.959530848,1,FALSE
224,0,0.000132645,0,TRUE
182,1,0.732964872,1,TRUE
87,1,0.987357858,1,TRUE
90,1,0.140442421,0,FALSE
169,0,0.792229708,1,FALSE
96,1,0.009923595,0,FALSE
201,1,0.789307803,1,TRUE
202,0,0.774097409,1,FALSE
79,0,0.030752332,0,TRUE
191,0,0.306052385,0,TRUE
221,0,0.029042716,0,TRUE
61,1,0.476660738,1,TRUE
118,1,0.01742551,0,FALSE
187,1,0.007975969,0,FALSE
142,0,0.001628786,0,TRUE
158,0,0.002868403,0,TRUE
90,1,0.885265518,1,TRUE
132,1,0.855506418,1,TRUE
140,1,0.040112284,0,FALSE
10,0,0.968843745,1,FALSE
107,1,0.003022631,0,FALSE
227,1,0.682415086,1,TRUE
171,0,0.293811431,0,TRUE
166,0,0.591420971,1,FALSE
34,0,0.482170004,1,FALSE
9,0,0.925787153,1,FALSE
128,1,0.021596445,0,FALSE
32,1,0.886461407,1,TRUE
96,1,0.90521301,1,TRUE
41,0,0.118993514,0,TRUE
123,0,0.01904171,0,TRUE
72,0,0.014756819,0,TRUE
148,0,0.000447355,0,TRUE
94,1,0.376483896,0,FALSE
47,1,0.003104052,0,FALSE
161,0,0.515841167,1,FALSE
240,0,0.037985308,0,TRUE
161,0,0.006271274,0,TRUE
217,0,0.000122406,0,TRUE
40,0,0.009329392,0,TRUE
220,0,0.060567623,0,TRUE
48,0,0.043623277,0,TRUE
64,0,0.724377423,1,FALSE
189,1,0.940537633,1,TRUE
222,1,0.246347386,0,FALSE
